readingdef_uid,machine,vendor,readingdef_name,canonical_role,is_evidence_signal,external_signal_type,external_signal_category,si_unit,mes_signal_type,mes_signal_category,mes_exclude_from_oee,matched_mes,unit_uid,unit_id
3a1d1435-0b13-3494-ee4c-6864a92cfbf3,Makine 2,Fanuc,ProgramNo,program,False,STOCK_NO,,,STOCK_NO,,False,True,3a1d1435-0afb-41a7-2d12-5eb77c185258,5
3a1d1435-0b26-5aa3-ca40-5c430f8fcc84,Makine 2,Fanuc,PIECES_PRODUCED,production_count,False,,,,,,False,True,3a1d1435-0afb-41a7-2d12-5eb77c185258,5
3a1d1435-0b4c-2872-6dcb-c08f106577a5,Makine 2,Fanuc,PIECES_PRODUCED_TOTAL,production_count,False,COUNT,,Ad,COUNT,,False,True,3a1d1435-0afb-41a7-2d12-5eb77c185258,5
3a1d1435-0b71-0194-598a-2963fece696b,Makine 2,Fanuc,RUNNING_PROGRAM_NO,program,False,,,,,,False,True,3a1d1435-0afb-41a7-2d12-5eb77c185258,5
3a1d1435-0b38-ba78-67df-f4983c48689e,Makine 2,Fanuc,M30 Duruş,stop_event,False,STOP,PLANNED,,STOP,PLANNED,False,True,3a1d1435-0afb-41a7-2d12-5eb77c185258,5
3a1d8054-95ff-7a99-0407-18fadd5c51d3,Makine 3,Fanuc,ProgramNo,program,False,STOCK_NO,,,STOCK_NO,,False,True,3a1d8054-94bd-747d-0e30-05d4ca302199,8
3a1d8054-9615-02dc-476a-9c4eb5ceb810,Makine 3,Fanuc,MagazineToolChange,stop_event,False,STOP,PLANNED,,STOP,PLANNED,False,True,3a1d8054-94bd-747d-0e30-05d4ca302199,8
3a1d8054-962b-15f4-8ddb-67949fae10ae,Makine 3,Fanuc,CYCLE_TIME_MS,cycle_time,True,STOCK_CYCLE,,,STOCK_CYCLE,,False,True,3a1d8054-94bd-747d-0e30-05d4ca302199,8
00000000-0000-0000-0000-000000000002,Makine 10,Fanuc,Test Production,test_prod,False,TEST_PROD,,,TEST_PROD,,False,True,3a1debf8-841b-af4f-b67c-4aab557e9668,12
00000000-0000-0000-0000-000000000006,Makine 10,Fanuc,System Offline,stop_event,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1debf8-841b-af4f-b67c-4aab557e9668,12
00000000-0000-0000-0000-000000000003,Makine 10,Fanuc,Manual Scrap,scrap,False,PROD_ERROR,,,PROD_ERROR,,False,True,3a1debf8-841b-af4f-b67c-4aab557e9668,12
00000000-0000-0000-0000-000000000004,Makine 10,Fanuc,Manual Workorder,workorder,False,WORK_ORDER_NO,,,WORK_ORDER_NO,,False,True,3a1debf8-841b-af4f-b67c-4aab557e9668,12
00000000-0000-0000-0000-000000000005,Makine 10,Fanuc,Manual Stock,stock,False,STOCK_NO,,,STOCK_NO,,False,True,3a1debf8-841b-af4f-b67c-4aab557e9668,12
00000000-0000-0000-0000-000000000001,Makine 10,Fanuc,Undefined Stoppage,stop_event,False,STOP,UNPLANNED,,STOP,UNPLANNED,False,True,3a1debf8-841b-af4f-b67c-4aab557e9668,12
